id,name,score,n_x,benefit_pay,balance,culture,promotion,boarder,recommend,CEO_support,potential,n_y,notice_amount
63176,(주)트래블로버,2.3,45,2.6,3.2,2.3,2.5,2,11,33,13,10,2900480
28494,서울법인재무설계센터(주),2.2,44,1.8,2.5,2.2,2.3,2,11,18,5,22,6057740
16667,엔에이치투자증권㈜,3.8,199,4.2,3.6,3.4,3.3,3.3,77,79,47,2962,1351434180
6773,키움에셋플래너(주),2.8,44,2.6,3.4,2.2,2.9,2.3,27,46,20,106,31791100
51974,(주)태강대부,2.1,43,1.9,2.6,1.9,2.1,1.9,23,26,14,127,39443860
80713,(주)동양저축은행,3.6,42,3.2,3.7,3.5,3.5,3.5,67,73,57,40,10106760
37924,동부씨에스아이손해사정(주),2.8,42,3.3,2.2,2.5,2.8,2.5,43,50,40,381,148551400
12244,전문건설공제조합,3.3,42,3.7,3.5,2.4,3,2.3,64,36,43,426,197223080
315009,(주)어니스트펀드,3.5,41,3.1,3.8,3.6,2.9,3.1,54,70,44,80,27001320
121857,토요타파이낸셜서비스코리아(주),2.4,42,3,2.5,2.4,2,2.1,33,31,14,46,16876320
327567,(주)체인파트너스,2,40,2.7,3.5,2.3,2.6,1.8,23,25,18,19,6869920
17059,하나펀드서비스㈜,2.2,39,2.1,1.5,2.3,3.1,1.9,15,--,23,146,53154840
4233,하나금융투자㈜,3.1,162,3.2,3.4,2.9,2.8,2.5,44,41,22,1861,822454460
4181,하나생명보험(주),3,39,2.6,3.6,3.1,2.3,2.4,36,42,8,179,74097340
169035,(주)서울기업금융서비스,2.1,37,2.2,3,3,2.3,2.3,16,31,11,7,1864580
217411,미래신용정보(주),2.5,37,2.2,2.8,2.2,2.1,2.2,30,28,11,271,82391540
22649,아슈리온코리아(유),3.2,37,4.1,3.7,3.2,2.9,2.9,51,62,35,14,5037720
44595,교보라이프플래닛생명보험(주),3.1,36,2.8,3.6,3.1,2.9,2.4,39,31,22,113,42297360
41476,농협금융지주(주),3.4,36,3.2,3.2,3,3.1,2.7,69,58,31,175,79190320
3044,한국캐피탈(주),3,36,3.3,3,2.6,2.8,2.7,44,71,33,249,93446960
374753,(주)고위드,3,35,3,2.9,2.6,3.6,2.6,51,57,57,34,11315280
94689,(주)조은저축은행,2.1,35,2.4,2.1,2,2.3,2,17,20,20,59,21184520
220749,(주)미디어그룹사람과숲,2,34,1.9,2.1,2.1,2.5,1.8,21,26,12,64,19501820
92689,서울약사신용협동조합,2.6,34,2.9,3.1,2.5,2.1,2.3,29,33,18,71,24667760
53643,(주)케이비저축은행,2.3,32,2.2,2.5,2.2,2.2,2.2,9,42,9,166,64009480
38914,대한토지신탁(주),3.7,32,4.1,3.9,2.8,3.1,2.9,72,59,25,162,71632260
7623,케이에프지(주),2.8,32,2.5,3.2,2.9,2.9,2.6,28,48,19,42,11393000
91754,(주)퓨처플레이,3.2,31,3.3,3.4,3.3,3.2,3,48,63,55,80,27270140
49197,(주)하나자산신탁,3.7,31,3.5,3.6,3.3,3.5,3.1,58,76,39,186,83323400
44304,군인공제회,3.4,31,3.4,3.8,2.6,2.9,2.5,58,53,32,154,70036000
3086,한국증권금융(주),4.2,31,4.4,4.1,3.8,3.5,3.3,87,74,39,416,187209060
90446,신용보증재단중앙회,3.6,30,3.9,3.3,2.8,3.3,3,60,60,43,99,36989720
